XGPigLedgeMode_StrafeShort         entry@0x7033d0  [CODE:0x7031c0 | 0x10 | CODE:0x4ef960 | CODE:0x7033cc | CODE:0x7031a0 | 0x10]
XGPigMeleeMode                     entry@0x7039e8  [CODE:0x7039a8 | 0x10 | CODE:0x4f0f30 | CODE:0x7039e4 | CODE:0x703990 | 0x10]
XGPigMeleeMode_Active              entry@0x703a08  [CODE:0x703978 | 0x10 | CODE:0x4f1030 | CODE:0x8c6984 | CODE:0x4f0cf0 | CODE:0x4f0d00]
XGPigMeleeMode_Inactive            entry@0x7039f8  [CODE:0x703990 | 0x10 | CODE:0x4f0fb0 | CODE:0x7039e4 | CODE:0x703978 | 0x10]
XGPigMoveMode                      entry@0x703c6c  [CODE:0x703c30 | 0x10 | CODE:0x4f16a0 | CODE:0x6fbde0 | CODE:0x703c18 | 0x10]
XGPigMoveMode_BaseTurn180          entry@0x703cac  [CODE:0x703bcc | 0x2c | CODE:0x4f18a0 | CODE:0x703ca8 | CODE:0x703bb4 | 0x2c]
XGPigMoveMode_Inactive             entry@0x703c7c  [CODE:0x703c18 | 0x10 | CODE:0x4f1720 | CODE:0x703c68 | CODE:0x703c04 | 0x14]
XGPigMoveMode_Move                 entry@0x703c8c  [CODE:0x703c04 | 0x14 | CODE:0x4f17a0 | CODE:0x703c68 | CODE:0x703be8 | 0x10]
XGPigMoveMode_MoveToIdle           entry@0x703c9c  [CODE:0x703be8 | 0x10 | CODE:0x4f1820 | CODE:0x703c68 | CODE:0x703bcc | 0x2c]
XGPigMoveMode_Sprint               entry@0x703ccc  [CODE:0x703b9c | 0x14 | CODE:0x4f19c0 | CODE:0x703cc8 | CODE:0x703b84 | 0x14]
XGPigMoveMode_SprintOil            entry@0x703cdc  [CODE:0x703b84 | 0x14 | CODE:0x4f1a40 | CODE:0x703c68 | CODE:0x703b68 | 0x14]
XGPigMoveMode_SprintToIdle         entry@0x703cec  [CODE:0x703b68 | 0x14 | CODE:0x4f1ac0 | CODE:0x703ca8 | CODE:0x703b4c | 0x2c]
XGPigMoveMode_SprintTurn180        entry@0x703cfc  [CODE:0x703b4c | 0x2c | CODE:0x4f1b40 | CODE:0x8c6adc | CODE:0x4f11b0 | CODE:0x4e8060]
XGPigMoveMode_Turn180              entry@0x703cbc  [CODE:0x703bb4 | 0x2c | CODE:0x4f1930 | CODE:0x703c68 | CODE:0x703b9c | 0x14]
XGPigScanMode                      entry@0x70419c  [CODE:0x704160 | 0x10 | CODE:0x4f4ac0 | CODE:0x704198 | CODE:0x704148 | 0x10]
XGPigScanMode_Active               entry@0x7041bc  [CODE:0x704130 | 0x10 | CODE:0x4f4bc0 | CODE:0x8c6ebc | CODE:0x4f48d0 | CODE:0x4e8060]
XGPigScanMode_Inactive             entry@0x7041ac  [CODE:0x704148 | 0x10 | CODE:0x4f4b40 | CODE:0x704198 | CODE:0x704130 | 0x10]
